"len_mid","year","Abundance"
40,"Year 6",15.8454463943392
40,"Year 7",12.4074770989593
40,"Year 8",11.8489034624008
40,"Year 9",12.0130423242151
40,"Year 10",20.2475190778276
40,"Year 11",29.6056649878398
40,"Year 12",33.8466206955173
40,"Year 13",35.2595911622008
40,"Year 14",39.5339358330585
40,"Year 15",33.7496533747433
40,"Year 16",36.229378225713
40,"Year 17",26.8208193592458
40,"Year 18",25.62142371386
40,"Year 19",26.3270304206892
40,"Year 20",30.7369272333677
42,"Year 1",8.60052133694535
42,"Year 2",12.6855239547348
42,"Year 3",12.4071781368723
42,"Year 4",11.5086715315
42,"Year 5",13.8617088858301
42,"Year 6",13.679048969236
42,"Year 7",10.8056258196515
42,"Year 8",10.4280333435026
42,"Year 9",9.93366728021481
42,"Year 10",16.145698859115
42,"Year 11",24.4872521647527
42,"Year 12",28.8182121972026
42,"Year 13",30.1473430965409
42,"Year 14",34.7858488966846
42,"Year 15",29.7496924092631
42,"Year 16",32.7369357705286
42,"Year 17",24.4118702933324
42,"Year 18",23.0441736958292
42,"Year 19",22.7408674267313
42,"Year 20",27.7135903457434
44,"Year 1",6.88185015951619
44,"Year 2",10.2511709208903
44,"Year 3",10.3011556882501
44,"Year 4",9.40609876883909
44,"Year 5",11.4327841919924
44,"Year 6",11.6331576860017
44,"Year 7",9.24646419869888
44,"Year 8",9.102609723546
44,"Year 9",8.3124383998444
44,"Year 10",12.8101455451386
44,"Year 11",19.806076031055
44,"Year 12",24.2288168507274
44,"Year 13",25.3234627541066
44,"Year 14",30.1564046558968
44,"Year 15",25.8169607462687
44,"Year 16",29.1093498628297
44,"Year 17",21.8641159143088
44,"Year 18",20.7478272810738
44,"Year 19",19.4605039489065
44,"Year 20",24.5781372125865
46,"Year 1",5.45720503340074
46,"Year 2",8.13536232619613
46,"Year 3",8.41656658283523
46,"Year 4",7.61345736672319
46,"Year 5",9.26154884529541
46,"Year 6",9.70602429518263
46,"Year 7",7.78004576191009
46,"Year 8",7.82626539410379
46,"Year 9",6.98307016636055
46,"Year 10",10.1350882025756
46,"Year 11",15.7028569273057
46,"Year 12",19.9915345608833
46,"Year 13",20.937146970136
46,"Year 14",25.6415303895932
46,"Year 15",22.0733752650643
46,"Year 16",25.4037113968661
46,"Year 17",19.2679741433433
46,"Year 18",18.5124600548407
46,"Year 19",16.5987760834168
46,"Year 20",21.4007099718288
48,"Year 1",4.28815923174914
48,"Year 2",6.35545677990014
48,"Year 3",6.74622515533144
48,"Year 4",6.09744270427507
48,"Year 5",7.38432767113762
48,"Year 6",7.9326532193711
48,"Year 7",6.44153742996881
48,"Year 8",6.60552320094348
48,"Year 9",5.85101061315502
48,"Year 10",8.01895966333295
48,"Year 11",12.2505885610314
48,"Year 12",16.1436594301527
48,"Year 13",17.0612341393886
48,"Year 14",21.3502810153785
48,"Year 15",18.6011374728059
48,"Year 16",21.7445888438452
48,"Year 17",16.709564276389
48,"Year 18",16.2802074642117
48,"Year 19",14.1585981428105
48,"Year 20",18.3172185366089
50,"Year 1",13.2900441120184
50,"Year 2",18.8680676612228
50,"Year 3",20.6264550801639
50,"Year 4",19.4904967128264
50,"Year 5",23.2238530568499
50,"Year 6",25.7223237289644
50,"Year 7",22.3891016515939
50,"Year 8",24.0181519639483
50,"Year 9",22.4160859278387
50,"Year 10",27.9890644559805
50,"Year 11",37.9756232866063
50,"Year 12",50.399423825182
50,"Year 13",56.3461637330004
50,"Year 14",73.1966774851895
50,"Year 15",69.070376347578
50,"Year 16",83.6713024646417
50,"Year 17",69.5611048434654
50,"Year 18",71.2254234807721
50,"Year 19",63.9496111400552
50,"Year 20",78.6904613417132
